2011026040-1,SCHIEBROEK/HILLEGERSBERG,1,DELTA,ZWART
2011026050-1,VLAARDINGEN,1,GIANT,ZILVERKLEURIG
2011026051-1,BARENDRECHT,1,NULL,NULL
2011026063-1,SCHIEDAM,1,ALTEC,ZWART
2011026064-1,LANSINGERLAND,1,RANGER,ZWART
2011026114-1,BARENDRECHT,1,KOGA MIYATA,ONBEKEND
2011026130-1,SCHIEBROEK/HILLEGERSBERG,1,GAZELLE,ONBEKEND
2011026210-1,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,1,DAHON,ZWART
2011026366-1,ALEXANDER ZUID,1,BATAVUS,BLAUW
2011026458-1,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,1,GENERIC,ZWART
2011026470-1,SCHIEDAM,1,PUCH,GRIJS
2011026517-1,MAASHAVEN,1,MONTEGO,CREME
2011026522-1,OUDE WESTEN,1,CUBE,WIT
2011026528-1,HELLEVOETSLUIS,1,BATAVUS,ZWART
2011026566-1,KRIMPEN,1,AVANCER,ZWART
2011026583-1,ALEXANDER NOORD,1,BATA,ZILVERKLEURIG
2011026665-1,NW WESTEN/MIDDELLAND,1,GAZELLE,BLAUW
2011026803-1,HOOGVLIET/PERNIS,1,GAZELLE,ONBEKEND
2011026892-1,KRALINGEN,1,BABBOE,ZWART
2011026916-1,HOEK VAN HOLLAND,1,GAZELLE,ZWART
2011027011-1,STAD,1,PIAGGIO,ZILVERKLEURIG
2011027026-1,CAPELLE,1,PEUGEOT,GRIJS
2011027064-1,ALBRANDSWAARD,1,GAZELLE,ONBEKEND
2011027070-1,CAPELLE,1,LIMIT,ZWART
2011027082-1,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,1,GAZELLE,ONBEKEND
2011027143-1,RIDDERKERK,1,BATAVUS,ONBEKEND
2011027204-1,VLAARDINGEN,1,PELIKAAN,ZWART
2011027217-1,HOOGVLIET/PERNIS,1,GAZELLE,ONBEKEND
2011027292-1,SCHIEDAM,1,#N/A,#N/A
2011027308-1,SCHIEDAM,1,GIANT,BLAUW
2011027403-1,HOEK VAN HOLLAND,1,GAZELLE,BRONSKLEURIG
2011027471-1,HOEK VAN HOLLAND,1,GIANT,ZWART
2011027511-16,WALENBURGERWEG/OUDE NOORDEN,12,BATAVUS,GROEN
2011028042-1,HOEK VAN HOLLAND,1,BATAVUS,ONBEKEND
2011028125-1,HELLEVOETSLUIS,1,CUMBERLAND,ZWART
2011028151-1,BINNENROTTE/OUDE HAVEN,1,GIANT,BLAUW
2011028195-1,HELLEVOETSLUIS,1,VESPA,ZWART
